number,text
margin_note 1,"Aureolus invades Italy, is defeated and beſieged at Milan."
margin_note 2,A. D. 268.
margin_note 3,A. D. 268. March 20. Death of Gallienus.
margin_note 4,Character and elevation of the emperor Claudius.
margin_note 5,Death of Aureolus.
margin_note 6,Clemency and juſtice of Claudius.
margin_note 7,He undertakes the reformation of the army.
margin_note 8,A. D. 269. The Goths invade the empire.
margin_note 9,Diſtreſs and firmneſs of Claudius.
margin_note 10,His victory over the Goths.
margin_note 11,A. D. 270.
margin_note 12,"March. Death of the emperor, who recommends Aurelian for his ſucceſſor."
margin_note 13,The attempt and fall of Quintilius.
margin_note 14,April.
margin_note 15,Origin and ſervices of Aurelian.
margin_note 16,Aurelian's ſucceſsful reign.
margin_note 17,His ſevere diſcipline.
margin_note 18,"He concludes a treaty with the Goths,"
margin_note 19,and reſigns to them the province of Dacia.
margin_note 20,The Alemannie war.
margin_note 21,A. D. 270. September.
margin_note 22,"The Alemanni invade Italy,"
margin_note 23,and are at laſt vanquiſhed by Aurelian.
margin_note 24,Superſtitious ceremonies.
margin_note 25,A. D. 271. January 11.
margin_note 26,Fortifications of Rome.
margin_note 27,Aurelian ſuppreſſes the two uſurpers.
margin_note 28,Succeſſion of uſurpers in Gaul.
margin_note 29,The reign and defeat of Tetricus.
margin_note 30,A. D. 271. Summer.
margin_note 31,A. D. 272. Character of Zenobia;
margin_note 32,her beauty and learning;
margin_note 33,her valour.
margin_note 34,"She revenges her huſband's death,"
margin_note 35,A. D. 250.
margin_note 36,and reigns over the Eaſt and Egypt.
margin_note 37,The expedition of Aurelian. A. D. 272.
margin_note 38,The emperor defeats the Palmyrenians in the battles of Antioch and Emeſa.
margin_note 39,The ſtate of Palmyra.
margin_note 40,"It is beſieged by Aurelian,"
margin_note 41,who becomes maſter of Zenobia and of the city.
margin_note 42,A. D. 273.
margin_note 43,Behaviour of Zenobia.
margin_note 44,Rebellion and ruin of Palmyra.
margin_note 45,Aurelian ſuppreſſes the rebellion of Firmus in Egypt.
margin_note 46,A. D 274.
margin_note 47,Triumph of Aurelian.
margin_note 48,His treatment of Tetricus and Zenobia.
margin_note 49,His magnificence and devotion.
margin_note 50,He ſuppreſſes a ſedition at Rome.
margin_note 51,Obſervations upon it.
margin_note 52,Cruelty of Aurelian.
margin_note 53,"He marches into the Eaſt, and is aſſaſſinated."
margin_note 54,A. D. 274. October.
margin_note 55,A. D. 275. January.
margin_note 56,Extraordinary conteſt between the army and the ſenate for the choice of an emperor.
margin_note 57,A. D. 275. Feb. 3.
margin_note 58,A peaceful interregnum of eight months.
margin_note 59,A. D. 275. Sept. 25.
margin_note 60,The conſul aſſembles the ſenate.
margin_note 61,Character of Tacitus.
margin_note 62,"He is elected emperor,"
margin_note 63,and accepts the purple.
margin_note 64,Authority of the ſenate.
margin_note 65,Their joy and confidence.
margin_note 66,A. D. 276. Tacitus is acknowledged by the army.
margin_note 67,"The Alani invade Aſia, and are repulſed by Tacitus."
margin_note 68,Death of the emperor Tacitus.
margin_note 69,A. D. 276. April 12.
margin_note 70,Uſurpation and death of his brother Florianus.
margin_note 71,July.
margin_note 72,Their family ſubſiſts in obſcurity.
margin_note 73,Character and elevation of the emperor Probus.
margin_note 74,His reſpectful conduct towards the ſenate.
margin_note 75,A. D. 276. Auguſt 3.
margin_note 76,Victories of Probus over the barbarians.
margin_note 77,A. D. 277.
margin_note 78,"He delivers Gaul from the invaſion of the Germans,"
margin_note 79,and carries his arms into Germany.
margin_note 80,He builds a wall from the Rhine to the Danube.
margin_note 81,Introduction and ſettlement of the barbarians.
margin_note 82,Daring enterpriſe of the Franks.
margin_note 83,Revolt of Saturninus in the Eaſt;
margin_note 84,A. D. 279.
margin_note 85,A. D. 280. of Bonoſus and Proculus in Gaul.
margin_note 86,A. D. 281.
margin_note 87,Triumph of the emperor Probus.
margin_note 88,His diſcipline.
margin_note 89,His death.
margin_note 90,"A. D. 282, Auguſt."
margin_note 91,Election and character of Carus.
margin_note 92,The ſentiments of the ſenate and people.
margin_note 93,"Carus defeats the Sarmatians, and marches into the Eaſt;"
margin_note 94,A. D. 283.
margin_note 95,he gives audience to the Perſian ambaſſadors.
margin_note 96,His victories and extraordinary death.
margin_note 97,A. D. 283. Dec. 25.
margin_note 98,He is ſucceeded by his two ſons Carinus and Numerian.
margin_note 99,A. D. 384. Vices of Carinus.
margin_note 100,He celebrates the Roman games.
margin_note 101,Spectacles of Rome.
margin_note 102,The amphitheatre.
margin_note 103,A. D. 284. Sept. 12.
margin_note 104,Return of Numerian with the army from Perſia.
margin_note 105,Death of Numerian.
margin_note 106,A. D. 284. Sept. 17.
margin_note 107,Election of the emperor Diocletian.
margin_note 108,Defeat and death of Carinus.
margin_note 109,A. D. 285. May.
margin_note 110,Elevation and character of Diocletian.
margin_note 111,A. D. 285.
margin_note 112,His clemency and victory.
margin_note 113,Aſſociation and character of Maximian.
margin_note 114,A. D 286. April 1.
margin_note 115,Aſſociation of two Caeſars.
margin_note 116,Galerius and Conſtantius.
margin_note 117,A. D. 292. March 1.
margin_note 118,Departments and harmony of the four princes.
margin_note 119,Series of events.
margin_note 120,A. D. 287. State of the peaſants of Gaul.
margin_note 121,"Their rebellion,"
margin_note 122,and chaſtiſement.
margin_note 123,A. D. 287.
margin_note 124,Revolt of Carauſius in Britain.
margin_note 125,Importance of Britain.
margin_note 126,"Power of Carauſius,"
margin_note 127,A. D. 289. acknowledged by the other emperors.
margin_note 128,A. D. 292.
margin_note 129,A. D. 294.
margin_note 130,His death.
margin_note 131,A. D. 296.
margin_note 132,Recovery of Britain by Conſtantius.
margin_note 133,Defence of the frontiers.
margin_note 134,Fortifications.
margin_note 135,Diſſentions of the barbarians.
margin_note 136,Conduct of the emperors.
margin_note 137,Valour of the Caeſars.
margin_note 138,Treatment of the barbarians.
margin_note 139,Wars of Africa and Egypt.
margin_note 140,A. D. 296.
margin_note 141,Conduct of Diocletian in Egypt.
margin_note 142,He ſuppreſſes books of alchymy.
margin_note 143,Novelty and progreſs of that art.
margin_note 144,The Perſian war.
margin_note 145,Tiridates the Armenian.
margin_note 146,A. D. 282.
margin_note 147,A. D. 286.
margin_note 148,His reſtoration to the throne of Armenia.
margin_note 149,State of the country.
margin_note 150,Revolt of the people and nobles.
margin_note 151,Story of Mamgo.
margin_note 152,The Perſians recover Armenia.
margin_note 153,War between the Perſians and the Romans.
margin_note 154,A. D. 296.
margin_note 155,Defeat of Galerius.
margin_note 156,His reception by Diocletian.
margin_note 157,Second campaign of Galerius.
margin_note 158,A. D. 297.
margin_note 159,His victory.
margin_note 160,and behaviour to his royal captives.
margin_note 161,Negociation for peace.
margin_note 162,Speech of the Perſian ambaſſador.
margin_note 163,Anſwer of Galerius.
margin_note 164,Moderation of Diocletian.
margin_note 165,Concluſion
margin_note 166,and articles of the treaty.
margin_note 167,The Aboras fixed as the limits between the empires.
margin_note 168,Ceſſion of five provinces beyond the Tigris.
margin_note 169,Armenia.
margin_note 170,Iberia.
margin_note 171,Triumph of Diocletian and Maximian.
margin_note 172,A. D. 303. Nov. 20.
margin_note 173,Long abſence of the emperors from Rome.
margin_note 174,Their reſidence at Milan
margin_note 175,and Nicomedia.
margin_note 176,Debaſement of Rome and of the ſenate.
margin_note 177,"New bodies of guards, Jovians and Herculians."
margin_note 178,Civil magiſtracies laid aſide.
margin_note 179,Imperial dignity and titles.
margin_note 180,"Diocletian aſſumes the diadem, and introduces the Perſian ceremonial."
margin_note 181,"New form of adminiſtration, two Auguſti, and two Caeſars."
margin_note 182,Increaſe of taxes.
margin_note 183,Abdication of Diocletian and Maximian.
margin_note 184,Reſemblance to Charles the Fifth.
margin_note 185,A. D. 304. Long illneſs of Diocletian.
margin_note 186,His prudence.
margin_note 187,A. D. 305. May 1.
margin_note 188,Compliance of Maximian.
margin_note 189,Retirement of Diocletian at Salona.
margin_note 190,"His philoſophy,"
margin_note 191,and death. A. D. 313.
margin_note 192,Deſcription of Salona and the adjacent country.
margin_note 193,Of Diocletian's palace.
margin_note 194,Decline of the arts.
margin_note 195,Of letters.
margin_note 196,The new Platoniſts.
margin_note 197,Period of civil wars and confuſion.
margin_note 198,A. D. 305—323.
margin_note 199,Character and ſituation of Conſtantius.
margin_note 200,Of Galerius.
margin_note 201,"The two Caeſars, Severus and Maximin."
margin_note 202,Ambition of Galerius diſappointed by two revolutions.
margin_note 203,"Birth, education, and eſcape of Conſtantine. A. D. 274."
margin_note 204,A. D. 292.
margin_note 205,"Death of Conſtantius, and elevation of Conſtantine. A. D. 306. July 25."
margin_note 206,"He is acknowledged by Galerius, who gives him only the title of Caeſar, and that of Auguſtus to Severus."
margin_note 207,The brothers and ſiſters of Conſtantine.
margin_note 208,Diſcontent of the Romans at the apprehenſion of taxes.
margin_note 209,Maxentius declared emperor at Rome. A. D. 306. 28th Oct.
margin_note 210,Maximian re-aſſumes the purple.
margin_note 211,Defeat and death of Severus.
margin_note 212,A. D. 307. February.
margin_note 213,"Maximian gives his daughter Fauſta, and the title of Auguſtus, to Conſtantine. A. D. 307. March 31."
margin_note 214,Galerius invades Italy.
margin_note 215,His retreat.
margin_note 216,Elevation of Licinius to the rank of Auguſtus;
margin_note 217,A. D. 307. Nov. 11.
margin_note 218,and of Maximin.
margin_note 219,Six emperors. A. D. 308.
margin_note 220,Misfortunes of Maximian.
margin_note 221,His death. A. D. 310. February.
margin_note 222,Death of Galerius. A. D. 311. May.
margin_note 223,His dominion ſhared between Maximin and Licinius.
margin_note 224,Adminiſtration of Conſtantine in Gaul. A. D. 306—312.
margin_note 225,Tyranny of Maxentius in Italy and Africa. A. D. 306—312.
margin_note 226,Civil war between Conſtantine and Maxentius. A. D. 312.
margin_note 227,Preparations.
margin_note 228,Conſtantine paſſes the Alps.
margin_note 229,Battle of Turin.
margin_note 230,Siege and battle of Verona.
margin_note 231,Indolence and fears of Maxentius.
