,batch,box,edition_seq_num,filepath,geographic_coverage,image,lccn,name,ocr,page_seq_num,page_url,place_of_publication,pub_date,publisher,score,url,id,choice,label
0,in_hoosier_ver01,"[0.6900234378326167, 0.06148718318145705, 0.815994470580722, 0.308473059013065]",1,in_hoosier_ver01/data/sn82015679/00202191757/1904012401/0467/008_0_96.jpg,['Indiana--Marion--Indianapolis'],"https://chroniclingamerica.loc.gov/iiif/2/in_hoosier_ver01%2Fdata%2Fsn82015679%2F00202191757%2F1904012401%2F0467.jp2/pct:69.0,6.15,12.6,24.7/!500,500/0/default.jpg",sn82015679,The Indianapolis journal. [volume],"['CHARLES', 'WOERNER.']",467,https://chroniclingamerica.loc.gov/data/batches/in_hoosier_ver01/data/sn82015679/00202191757/1904012401/0467.jp2,Indianapolis [Ind.],1904-01-24,Douglass & Conner,0.9653011560440063,https://news-navigator.labs.loc.gov/data/in_hoosier_ver01/data/sn82015679/00202191757/1904012401/0467/008_0_96.jpg,729,human,human
1,dlc_rottweiler_ver01,"[0.28670552360566326, 0.18225655555725098, 0.4200825354864983, 0.3429296016693115]",1,dlc_rottweiler_ver01/data/sn83045462/00280655533/1903102601/0046/004_0_95.jpg,['District of Columbia--Washington'],"https://chroniclingamerica.loc.gov/iiif/2/dlc_rottweiler_ver01%2Fdata%2Fsn83045462%2F00280655533%2F1903102601%2F0046.jp2/pct:28.67,18.23,13.34,16.07/!500,500/0/default.jpg",sn83045462,Evening star. [volume],[],46,https://chroniclingamerica.loc.gov/data/batches/dlc_rottweiler_ver01/data/sn83045462/00280655533/1903102601/0046.jp2,"Washington, D.C.",1903-10-26,W.D. Wallach & Hope,0.9524227380752563,https://news-navigator.labs.loc.gov/data/dlc_rottweiler_ver01/data/sn83045462/00280655533/1903102601/0046/004_0_95.jpg,683,human,human
2,curiv_joshuaTree_ver01,"[0.19085282821870592, 0.021152705471189713, 0.826879492371237, 0.3381058575791009]",1,curiv_joshuaTree_ver01/data/sn85066387/00175037858/1899062601/0564/009_0_90.jpg,['California--San Francisco--San Francisco'],"https://chroniclingamerica.loc.gov/iiif/2/curiv_joshuaTree_ver01%2Fdata%2Fsn85066387%2F00175037858%2F1899062601%2F0564.jp2/pct:19.08,2.12,63.61,31.7/!500,500/0/default.jpg",sn85066387,The San Francisco call. [volume],"['OARSMEN', 'IN']",564,https://chroniclingamerica.loc.gov/data/batches/curiv_joshuaTree_ver01/data/sn85066387/00175037858/1899062601/0564.jp2,San Francisco [Calif.],1899-06-26,Charles M. Shortridge,0.9022302031517028,https://news-navigator.labs.loc.gov/data/curiv_joshuaTree_ver01/data/sn85066387/00175037858/1899062601/0564/009_0_90.jpg,379,"{""choices"": [""human"", ""landscape""]}",human|landscape
3,curiv_fiddleneck_ver01,"[0.6000189201639591, 0.14310789328016993, 0.73204053380716, 0.3586576822166619]",1,curiv_fiddleneck_ver01/data/sn85066408/00271767213/1916051601/0139/006_0_97.jpg,['California--San Francisco--San Francisco'],"https://chroniclingamerica.loc.gov/iiif/2/curiv_fiddleneck_ver01%2Fdata%2Fsn85066408%2F00271767213%2F1916051601%2F0139.jp2/pct:60.0,14.32,13.21,21.56/!500,500/0/default.jpg",sn85066408,L'Italia. [volume],[],139,https://chroniclingamerica.loc.gov/data/batches/curiv_fiddleneck_ver01/data/sn85066408/00271767213/1916051601/0139.jp2,"San Francisco, Calif.",1916-05-16,Italian Pub. Co.,0.9783679246902466,https://news-navigator.labs.loc.gov/data/curiv_fiddleneck_ver01/data/sn85066408/00271767213/1916051601/0139/006_0_97.jpg,1659,human,human
4,me_aroostook_ver01,"[0.342891106238732, 0.03695611118541958, 0.6253128503201276, 0.2261907573630028]",1,me_aroostook_ver01/data/sn84022374/00332895473/1900112801/0384/000_0_96.jpg,['Maine--Hancock--Ellsworth'],"https://chroniclingamerica.loc.gov/iiif/2/me_aroostook_ver01%2Fdata%2Fsn84022374%2F00332895473%2F1900112801%2F0384.jp2/pct:34.28,3.7,28.25,18.93/!500,500/0/default.jpg",sn84022374,Ellsworth American. [volume],"['RAILROAD', 'COMMISSIONER', 'PARKER', ""SPOFFORD,'""]",384,https://chroniclingamerica.loc.gov/data/batches/me_aroostook_ver01/data/sn84022374/00332895473/1900112801/0384.jp2,"Ellsworth, Me.",1900-11-28,Wm. H. Chaney,0.9646455645561218,https://news-navigator.labs.loc.gov/data/me_aroostook_ver01/data/sn84022374/00332895473/1900112801/0384/000_0_96.jpg,396,human,human
5,curiv_duckweed_ver02,"[0.400025667199766, 0.2183363157030164, 0.5297583243697161, 0.40919761905192886]",1,curiv_duckweed_ver02/data/sn85066408/00271767079/1910110201/0896/011_0_93.jpg,['California--San Francisco--San Francisco'],"https://chroniclingamerica.loc.gov/iiif/2/curiv_duckweed_ver02%2Fdata%2Fsn85066408%2F00271767079%2F1910110201%2F0896.jp2/pct:40.0,21.84,12.98,19.09/!500,500/0/default.jpg",sn85066408,L'Italia. [volume],[],896,https://chroniclingamerica.loc.gov/data/batches/curiv_duckweed_ver02/data/sn85066408/00271767079/1910110201/0896.jp2,"San Francisco, Calif.",1910-11-02,Italian Pub. Co.,0.9392154216766356,https://news-navigator.labs.loc.gov/data/curiv_duckweed_ver02/data/sn85066408/00271767079/1910110201/0896/011_0_93.jpg,1209,human,human
6,ohi_dearfield_ver01,"[0.5005604886891508, 0.0612585844816985, 0.9107479311031557, 0.24737916169343172]",1,ohi_dearfield_ver01/data/sn85067315/00383341085/1905112301/1260/000_0_97.jpg,['Colorado--Fremont--Canon City'],"https://chroniclingamerica.loc.gov/iiif/2/ohi_dearfield_ver01%2Fdata%2Fsn85067315%2F00383341085%2F1905112301%2F1260.jp2/pct:50.05,6.13,41.02,18.62/!500,500/0/default.jpg",sn85067315,Cañon City record. [volume],[],1260,https://chroniclingamerica.loc.gov/data/batches/ohi_dearfield_ver01/data/sn85067315/00383341085/1905112301/1260.jp2,"Cañon City, Colo.",1905-11-23,W.B. Felton,0.9768483638763428,https://news-navigator.labs.loc.gov/data/ohi_dearfield_ver01/data/sn85067315/00383341085/1905112301/1260/000_0_97.jpg,816,"{""choices"": [""human"", ""landscape""]}",human|landscape
7,dlc_ghana_ver01,"[0.6149545253008262, 0.0954758027235972, 0.7364637352954382, 0.28620456688234763]",1,dlc_ghana_ver01/data/sn84026749/00280764462/1918041401/0665/007_0_98.jpg,['District of Columbia--Washington'],"https://chroniclingamerica.loc.gov/iiif/2/dlc_ghana_ver01%2Fdata%2Fsn84026749%2F00280764462%2F1918041401%2F0665.jp2/pct:61.49,9.55,12.16,19.08/!500,500/0/default.jpg",sn84026749,The Washington times. [volume],"['COL.', 'D.', 'W.', 'KETCHAM.', 'Acting', 'secretary', 'of', 'the', 'War', 'Col', 'lege,', 'who', 'executed', 'the', 'order.']",665,https://chroniclingamerica.loc.gov/data/batches/dlc_ghana_ver01/data/sn84026749/00280764462/1918041401/0665.jp2,Washington [D.C.],1918-04-14,Times Pub. Co.,0.9821292161941528,https://news-navigator.labs.loc.gov/data/dlc_ghana_ver01/data/sn84026749/00280764462/1918041401/0665/007_0_98.jpg,1823,human,human
8,iune_article_ver01,"[0.7077951446198895, 0.04029953254843658, 0.9587822617126369, 0.2735130741911114]",1,iune_article_ver01/data/sn84025828/0020219381A/1920101601/0023/001_0_97.jpg,['Illinois--Cook County--Chicago'],"https://chroniclingamerica.loc.gov/iiif/2/iune_article_ver01%2Fdata%2Fsn84025828%2F0020219381A%2F1920101601%2F0023.jp2/pct:70.77,4.03,25.1,23.33/!500,500/0/default.jpg",sn84025828,Chicago eagle. [volume],"[""yp'"", '.', '-,', 'JAMES', 'HAMILTON', 'LEWIS,', 'Democratic', 'Candidate', 'for', 'Governor,', 'Whose', 'Chances', 'for', 'Election', 'Are', 'Very', '-', 'L', '1', 'lJ']",23,https://chroniclingamerica.loc.gov/data/batches/iune_article_ver01/data/sn84025828/0020219381A/1920101601/0023.jp2,"Chicago, Ill.",1920-10-16,Henry F. Donovan,0.9710240960121156,https://news-navigator.labs.loc.gov/data/iune_article_ver01/data/sn84025828/0020219381A/1920101601/0023/001_0_97.jpg,1989,human,human
9,txdn_infiniti_ver03,"[0.07411575842823208, 0.30965918297190304, 0.2219376156809573, 0.4526445192071889]",1,txdn_infiniti_ver03/data/sn88083938/00200294269/1896020901/0185/001_0_92.jpg,['Texas--Brazos--Bryan'],"https://chroniclingamerica.loc.gov/iiif/2/txdn_infiniti_ver03%2Fdata%2Fsn88083938%2F00200294269%2F1896020901%2F0185.jp2/pct:7.41,30.97,14.79,14.3/!500,500/0/default.jpg",sn88083938,The Bryan daily eagle.,"['X', '.', 'J', ':', '.', 'Nell', ""'!.'"", ""'."", '.', ""i'i:::i"", 'ino']",185,https://chroniclingamerica.loc.gov/data/batches/txdn_infiniti_ver03/data/sn88083938/00200294269/1896020901/0185.jp2,"Bryan, Tex.",1896-02-09,"Connelly, Palmer & Carnes",0.9274155497550964,https://news-navigator.labs.loc.gov/data/txdn_infiniti_ver03/data/sn88083938/00200294269/1896020901/0185/001_0_92.jpg,115,human,human
